"","rules","support","confidence","lift","count"
"226","{coffee,misc. beverages} => {soda}",0.00101677681748856,0.769230769230769,4.41130298273155,10
"1338","{yogurt,rolls/buns,bottled water,newspapers} => {soda}",0.00101677681748856,0.769230769230769,4.41130298273155,10
"1076","{sausage,bottled water,bottled beer} => {soda}",0.00111845449923742,0.733333333333333,4.20544217687075,11
"976","{sausage,white bread,shopping bags} => {soda}",0.00101677681748856,0.666666666666667,3.82312925170068,10
"999","{rolls/buns,bottled water,chocolate} => {soda}",0.00132180986273513,0.65,3.72755102040816,13
"227","{pastry,misc. beverages} => {soda}",0.00122013218098627,0.631578947368421,3.6219119226638,12
"920","{rolls/buns,chocolate,candy} => {soda}",0.00122013218098627,0.631578947368421,3.6219119226638,12
"1066","{frankfurter,yogurt,bottled water} => {soda}",0.00132180986273513,0.590909090909091,3.3886827458256,13
"960","{yogurt,rolls/buns,canned beer} => {soda}",0.00101677681748856,0.588235294117647,3.37334933973589,10
"1334","{other vegetables,whole milk,rolls/buns,chocolate} => {soda}",0.00101677681748856,0.588235294117647,3.37334933973589,10
"961","{other vegetables,yogurt,canned beer} => {soda}",0.00111845449923742,0.578947368421053,3.32008592910849,11
"922","{other vegetables,rolls/buns,candy} => {soda}",0.00152516522623284,0.576923076923077,3.30847723704867,15
"440","{chicken,waffles} => {soda}",0.00122013218098627,0.571428571428571,3.27696793002915,12
"959","{whole milk,bottled water,canned beer} => {soda}",0.00122013218098627,0.571428571428571,3.27696793002915,12
"515","{tropical fruit,canned beer} => {soda}",0.00172852058973055,0.566666666666667,3.24965986394558,17
"143","{bottled water,cake bar} => {soda}",0.00101677681748856,0.555555555555556,3.1859410430839,10
"192","{ice cream,napkins} => {soda}",0.00101677681748856,0.555555555555556,3.1859410430839,10
"975","{other vegetables,white bread,pastry} => {soda}",0.00101677681748856,0.555555555555556,3.1859410430839,10
"1118","{bottled water,fruit/vegetable juice,newspapers} => {soda}",0.00101677681748856,0.555555555555556,3.1859410430839,10
"962","{yogurt,cream cheese ,bottled water} => {soda}",0.00111845449923742,0.55,3.15408163265306,11
"990","{other vegetables,chocolate,newspapers} => {soda}",0.00111845449923742,0.55,3.15408163265306,11
"125","{salty snack,popcorn} => {soda}",0.00122013218098627,0.545454545454545,3.12801484230056,12
"128","{yogurt,sweet spreads} => {soda}",0.00122013218098627,0.545454545454545,3.12801484230056,12
"1119","{other vegetables,pastry,newspapers} => {soda}",0.00132180986273513,0.541666666666667,3.1062925170068,13
